_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639403d70dedcfcbae158ad3;False;1;null;3;31;4;casos
639403d70dedcfcbae158ad4;False;0;null;3;32;4;casos
639403d70dedcfcbae158ad5;False;0;null;3;33;4;casos
639403d70dedcfcbae158ad6;False;0;null;3;34;4;casos
639403d70dedcfcbae158ad7;False;0;null;3;35;4;casos
639403d70dedcfcbae158ad8;False;0;null;3;36;4;casos
639403d70dedcfcbae158ad9;False;0,16666666666666666;3;3;Média;4;casos
639403da0dedcfcbae158ae6;False;1;null;5;31;4;casos
639403da0dedcfcbae158ae7;False;0,2;null;5;32;4;casos
639403da0dedcfcbae158ae8;False;0,6666666666666666;null;5;33;4;casos
639403da0dedcfcbae158ae9;False;0;null;5;34;4;casos
639403da0dedcfcbae158aea;False;1;null;5;35;4;casos
639403db0dedcfcbae158aeb;False;0,5;null;5;36;4;casos
639403db0dedcfcbae158aec;False;0,5611111111111111;3;5;Média;4;casos
639403de0dedcfcbae158af9;False;1;null;4;31;4;casos
639403de0dedcfcbae158afa;False;0;null;4;32;4;casos
639403de0dedcfcbae158afb;False;0,5;null;4;33;4;casos
639403de0dedcfcbae158afc;False;0,25;null;4;34;4;casos
639403de0dedcfcbae158afd;False;0,2;null;4;35;4;casos
639403de0dedcfcbae158afe;False;0,14285714285714285;null;4;36;4;casos
639403de0dedcfcbae158aff;False;0,34880952380952385;3;4;Média;4;casos
639403e10dedcfcbae158b0c;False;0;null;6;31;4;casos
639403e10dedcfcbae158b0d;False;0;null;6;32;4;casos
639403e10dedcfcbae158b0e;False;0;null;6;33;4;casos
639403e10dedcfcbae158b0f;False;0;null;6;34;4;casos
639403e10dedcfcbae158b10;False;0;null;6;35;4;casos
639403e20dedcfcbae158b11;False;0;null;6;36;4;casos
639403e20dedcfcbae158b12;False;0;3;6;Média;4;casos
639403e50dedcfcbae158b1f;False;0,25;null;7;31;4;casos
639403e50dedcfcbae158b20;False;0,10526315789473684;null;7;32;4;casos
639403e50dedcfcbae158b21;False;0,5;null;7;33;4;casos
639403e60dedcfcbae158b22;False;0;null;7;34;4;casos
639403e60dedcfcbae158b23;False;1;null;7;35;4;casos
639403e60dedcfcbae158b24;False;0,3333333333333333;null;7;36;4;casos
639403e60dedcfcbae158b25;False;0,364766081871345;3;7;Média;4;casos
639403ed0dedcfcbae158b32;False;1;null;9;31;4;casos
639403ed0dedcfcbae158b33;False;0;null;9;32;4;casos
639403ee0dedcfcbae158b34;False;1;null;9;33;4;casos
639403ee0dedcfcbae158b35;False;0;null;9;34;4;casos
639403ee0dedcfcbae158b36;False;1;null;9;35;4;casos
639403ee0dedcfcbae158b37;False;0,14285714285714285;null;9;36;4;casos
639403ee0dedcfcbae158b38;False;0,5238095238095238;3;9;Média;4;casos
639403f10dedcfcbae158b45;False;0;null;10;31;4;casos
639403f10dedcfcbae158b46;False;0;null;10;32;4;casos
639403f20dedcfcbae158b47;False;0;null;10;33;4;casos
639403f20dedcfcbae158b48;False;0;null;10;34;4;casos
639403f20dedcfcbae158b49;False;0;null;10;35;4;casos
639403f20dedcfcbae158b4a;False;0;null;10;36;4;casos
639403f30dedcfcbae158b4b;False;0;3;10;Média;4;casos
639403f50dedcfcbae158b58;False;0;null;11;31;4;casos
639403f50dedcfcbae158b59;False;0;null;11;32;4;casos
639403f60dedcfcbae158b5a;False;0;null;11;33;4;casos
639403f60dedcfcbae158b5b;False;0;null;11;34;4;casos
639403f60dedcfcbae158b5c;False;0;null;11;35;4;casos
639403f60dedcfcbae158b5d;False;0;null;11;36;4;casos
639403f60dedcfcbae158b5e;False;0;3;11;Média;4;casos
639403f90dedcfcbae158b6b;False;1;null;12;31;4;casos
639403f90dedcfcbae158b6c;False;0;null;12;32;4;casos
639403f90dedcfcbae158b6d;False;0,3333333333333333;null;12;33;4;casos
639403f90dedcfcbae158b6e;False;0,3333333333333333;null;12;34;4;casos
639403f90dedcfcbae158b6f;False;0,5;null;12;35;4;casos
639403fa0dedcfcbae158b70;False;0,09090909090909091;null;12;36;4;casos
639403fa0dedcfcbae158b71;False;0,37626262626262624;3;12;Média;4;casos
639403fc0dedcfcbae158b7e;False;0;null;13;31;4;casos
639403fc0dedcfcbae158b7f;False;0;null;13;32;4;casos
639403fc0dedcfcbae158b80;False;0;null;13;33;4;casos
639403fd0dedcfcbae158b81;False;0;null;13;34;4;casos
639403fd0dedcfcbae158b82;False;0;null;13;35;4;casos
639403fd0dedcfcbae158b83;False;0;null;13;36;4;casos
639403fd0dedcfcbae158b84;False;0;3;13;Média;4;casos
