h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639536240dedcfcbae1599b4;False;1;null;9;14;2;casos
639536250dedcfcbae1599b5;False;1;null;9;15;2;casos
639536250dedcfcbae1599b6;False;1;null;9;16;2;casos
639536250dedcfcbae1599b7;False;0,75;null;9;17;2;casos
639536250dedcfcbae1599b8;False;1;null;9;18;2;casos
639536250dedcfcbae1599b9;False;1;null;9;19;2;casos
639536260dedcfcbae1599ba;False;0,5;null;9;20;2;casos
639536260dedcfcbae1599bb;False;0,75;null;9;21;2;casos
639536260dedcfcbae1599bc;False;0,6;null;9;22;2;casos
639536260dedcfcbae1599bd;False;0,75;null;9;23;2;casos
639536260dedcfcbae1599be;False;0,42857142857142855;null;9;24;2;casos
639536260dedcfcbae1599bf;False;0,75;null;9;25;2;casos
639536270dedcfcbae1599c0;False;0,6;null;9;26;2;casos
639536270dedcfcbae1599c1;False;0,7904761904761906;3;9;Média;2;casos
6395362b0dedcfcbae1599cb;False;0,75;null;10;9;2;casos
6395362b0dedcfcbae1599cc;False;0,6666666666666666;null;10;10;2;casos
6395362b0dedcfcbae1599cd;False;0,75;null;10;11;2;casos
6395362b0dedcfcbae1599ce;False;0,6;null;10;12;2;casos
6395362b0dedcfcbae1599cf;False;0,75;null;10;13;2;casos
6395362b0dedcfcbae1599d0;False;0,16666666666666666;null;10;14;2;casos
6395362c0dedcfcbae1599d1;False;0;null;10;15;2;casos
6395362c0dedcfcbae1599d2;False;0;null;10;16;2;casos
6395362c0dedcfcbae1599d3;False;0;null;10;17;2;casos
6395362c0dedcfcbae1599d4;False;0;null;10;18;2;casos
6395362c0dedcfcbae1599d5;False;0;null;10;19;2;casos
6395362c0dedcfcbae1599d6;False;0;null;10;20;2;casos
6395362c0dedcfcbae1599d7;False;0;null;10;21;2;casos
6395362c0dedcfcbae1599d8;False;0;null;10;22;2;casos
6395362c0dedcfcbae1599d9;False;0;null;10;23;2;casos
6395362c0dedcfcbae1599da;False;0;null;10;24;2;casos
6395362c0dedcfcbae1599db;False;0;null;10;25;2;casos
6395362c0dedcfcbae1599dc;False;0;null;10;26;2;casos
6395362c0dedcfcbae1599dd;False;0,2046296296296296;3;10;Média;2;casos
