_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota
631fe769dcd9cfe3b8b77a72;False;null;3;9;2;casos;8,333333333333334
631fe769dcd9cfe3b8b77a73;False;null;3;10;2;casos;6,833333333333332
631fe769dcd9cfe3b8b77a74;False;null;3;11;2;casos;7,5
631fe769dcd9cfe3b8b77a75;False;null;3;12;2;casos;10
631fe769dcd9cfe3b8b77a76;False;null;3;13;2;casos;10
631fe769dcd9cfe3b8b77a77;False;null;3;14;2;casos;10
631fe769dcd9cfe3b8b77a78;False;null;3;15;2;casos;0
631fe76adcd9cfe3b8b77a79;False;null;3;16;2;casos;0
631fe76adcd9cfe3b8b77a7a;False;null;3;17;2;casos;0
631fe76adcd9cfe3b8b77a7b;False;null;3;18;2;casos;0
631fe76adcd9cfe3b8b77a7c;False;null;3;19;2;casos;0
631fe76adcd9cfe3b8b77a7d;False;null;3;20;2;casos;0
631fe76adcd9cfe3b8b77a7e;False;null;3;21;2;casos;0
631fe76adcd9cfe3b8b77a7f;False;null;3;22;2;casos;0
631fe76adcd9cfe3b8b77a80;False;null;3;23;2;casos;0
631fe76adcd9cfe3b8b77a81;False;null;3;24;2;casos;0
631fe76adcd9cfe3b8b77a82;False;null;3;25;2;casos;0
631fe76adcd9cfe3b8b77a83;False;null;3;26;2;casos;0
631fe76bdcd9cfe3b8b77a84;False;3;3;Média;2;casos;2,9259259259259256
631fe76cdcd9cfe3b8b77a8e;False;null;5;9;2;casos;6,333333333333333
631fe76cdcd9cfe3b8b77a8f;False;null;5;10;2;casos;8,333333333333334
631fe76ddcd9cfe3b8b77a90;False;null;5;11;2;casos;10
631fe76ddcd9cfe3b8b77a91;False;null;5;12;2;casos;10
631fe76ddcd9cfe3b8b77a92;False;null;5;13;2;casos;10
631fe76ddcd9cfe3b8b77a93;False;null;5;14;2;casos;7,916666666666666
631fe76ddcd9cfe3b8b77a94;False;null;5;15;2;casos;8,75
631fe76ddcd9cfe3b8b77a95;False;null;5;16;2;casos;8,333333333333334
631fe76ddcd9cfe3b8b77a96;False;null;5;17;2;casos;10
631fe76ddcd9cfe3b8b77a97;False;null;5;18;2;casos;10
631fe76ddcd9cfe3b8b77a98;False;null;5;19;2;casos;8,958333333333334
631fe76edcd9cfe3b8b77a99;False;null;5;20;2;casos;10
631fe76edcd9cfe3b8b77a9a;False;null;5;21;2;casos;8,4375
631fe76edcd9cfe3b8b77a9b;False;null;5;22;2;casos;8,541666666666666
631fe76edcd9cfe3b8b77a9c;False;null;5;23;2;casos;7,708333333333334
631fe76edcd9cfe3b8b77a9d;False;null;5;24;2;casos;5,111111111111111
631fe76edcd9cfe3b8b77a9e;False;null;5;25;2;casos;8,333333333333334
631fe76edcd9cfe3b8b77a9f;False;null;5;26;2;casos;7,777777777777777
631fe76fdcd9cfe3b8b77aa0;False;3;5;Média;2;casos;8,585262345679013
631fe771dcd9cfe3b8b77aaa;False;null;4;9;2;casos;9,722222222222221
631fe771dcd9cfe3b8b77aab;False;null;4;10;2;casos;7,083333333333334
631fe771dcd9cfe3b8b77aac;False;null;4;11;2;casos;10
631fe771dcd9cfe3b8b77aad;False;null;4;12;2;casos;9,166666666666666
631fe771dcd9cfe3b8b77aae;False;null;4;13;2;casos;8,5
631fe772dcd9cfe3b8b77aaf;False;null;4;14;2;casos;7,999999999999999
631fe772dcd9cfe3b8b77ab0;False;null;4;15;2;casos;9,166666666666666
631fe772dcd9cfe3b8b77ab1;False;null;4;16;2;casos;5,138888888888888
631fe772dcd9cfe3b8b77ab2;False;null;4;17;2;casos;8,452380952380953
631fe772dcd9cfe3b8b77ab3;False;null;4;18;2;casos;9,583333333333334
