_id,agrupamento,assertividade,fonte,id_estudante,id_fonte,id_questionario,método
6308e41d1cadee1d899eb99d,False,0.6,null,3,38,5,casos
6308e41d1cadee1d899eb99e,False,0.6,null,3,39,5,casos
6308e41e1cadee1d899eb99f,False,1,null,3,40,5,casos
6308e41e1cadee1d899eb9a0,False,1,null,3,41,5,casos
6308e41e1cadee1d899eb9a1,False,0.8,3,3,Média,5,casos
6308e4211cadee1d899eb9b0,False,0.008823529411764706,null,5,38,5,casos
6308e4211cadee1d899eb9b1,False,0.030303030303030304,null,5,39,5,casos
6308e4211cadee1d899eb9b2,False,0.3333333333333333,null,5,40,5,casos
6308e4221cadee1d899eb9b3,False,0.3333333333333333,null,5,41,5,casos
6308e4221cadee1d899eb9b4,False,0.17644830659536542,3,5,Média,5,casos
6308e4251cadee1d899eb9c3,False,0.375,null,4,38,5,casos
6308e4251cadee1d899eb9c4,False,0.07692307692307693,null,4,39,5,casos
6308e4251cadee1d899eb9c5,False,0.1,null,4,40,5,casos
6308e4251cadee1d899eb9c6,False,0.25,null,4,41,5,casos
6308e4251cadee1d899eb9c7,False,0.20048076923076924,3,4,Média,5,casos
6308e4281cadee1d899eb9d6,False,0,null,6,38,5,casos
6308e4281cadee1d899eb9d7,False,0,null,6,39,5,casos
6308e4281cadee1d899eb9d8,False,0,null,6,40,5,casos
6308e4281cadee1d899eb9d9,False,0,null,6,41,5,casos
6308e4281cadee1d899eb9da,False,0,3,6,Média,5,casos
6308e42b1cadee1d899eb9e9,False,0.0050335570469798654,null,7,38,5,casos
6308e42b1cadee1d899eb9ea,False,0.04225352112676056,null,7,39,5,casos
6308e42b1cadee1d899eb9eb,False,0.06666666666666667,null,7,40,5,casos
6308e42c1cadee1d899eb9ec,False,0.01,null,7,41,5,casos
6308e42c1cadee1d899eb9ed,False,0.030988436210101774,3,7,Média,5,casos
6308e4301cadee1d899eb9fc,False,0.019230769230769232,null,9,38,5,casos
6308e4301cadee1d899eb9fd,False,0.1875,null,9,39,5,casos
6308e4311cadee1d899eb9fe,False,0.5,null,9,40,5,casos
6308e4311cadee1d899eb9ff,False,0.16666666666666666,null,9,41,5,casos
6308e4311cadee1d899eba00,False,0.21834935897435895,3,9,Média,5,casos
6308e4331cadee1d899eba0f,False,0,null,10,38,5,casos
6308e4331cadee1d899eba10,False,0,null,10,39,5,casos
6308e4331cadee1d899eba11,False,0,null,10,40,5,casos
6308e4331cadee1d899eba12,False,0,null,10,41,5,casos
6308e4331cadee1d899eba13,False,0,3,10,Média,5,casos
