_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639403d80dedcfcbae158ada;False;0;null;3;38;5;casos
639403d80dedcfcbae158adb;False;0;null;3;39;5;casos
639403d80dedcfcbae158adc;False;0;null;3;40;5;casos
639403d80dedcfcbae158add;False;0;null;3;41;5;casos
639403d80dedcfcbae158ade;False;0;3;3;Média;5;casos
639403db0dedcfcbae158aed;False;0,010869565217391304;null;5;38;5;casos
639403db0dedcfcbae158aee;False;0,041666666666666664;null;5;39;5;casos
639403db0dedcfcbae158aef;False;0,5;null;5;40;5;casos
639403dc0dedcfcbae158af0;False;1;null;5;41;5;casos
639403dc0dedcfcbae158af1;False;0,3881340579710145;3;5;Média;5;casos
639403df0dedcfcbae158b00;False;1;null;4;38;5;casos
639403df0dedcfcbae158b01;False;0,1111111111111111;null;4;39;5;casos
639403df0dedcfcbae158b02;False;0,125;null;4;40;5;casos
639403df0dedcfcbae158b03;False;0,3333333333333333;null;4;41;5;casos
639403df0dedcfcbae158b04;False;0,3923611111111111;3;4;Média;5;casos
639403e20dedcfcbae158b13;False;0;null;6;38;5;casos
639403e20dedcfcbae158b14;False;0;null;6;39;5;casos
639403e20dedcfcbae158b15;False;0;null;6;40;5;casos
639403e20dedcfcbae158b16;False;0;null;6;41;5;casos
639403e20dedcfcbae158b17;False;0;3;6;Média;5;casos
639403e70dedcfcbae158b26;False;0;null;7;38;5;casos
639403e70dedcfcbae158b27;False;0,09090909090909091;null;7;39;5;casos
639403e80dedcfcbae158b28;False;1;null;7;40;5;casos
639403e90dedcfcbae158b29;False;0,3333333333333333;null;7;41;5;casos
639403e90dedcfcbae158b2a;False;0,356060606060606;3;7;Média;5;casos
639403ee0dedcfcbae158b39;False;0;null;9;38;5;casos
639403ef0dedcfcbae158b3a;False;0,125;null;9;39;5;casos
639403ef0dedcfcbae158b3b;False;1;null;9;40;5;casos
639403ef0dedcfcbae158b3c;False;1;null;9;41;5;casos
639403ef0dedcfcbae158b3d;False;0,53125;3;9;Média;5;casos
639403f30dedcfcbae158b4c;False;0;null;10;38;5;casos
639403f30dedcfcbae158b4d;False;0;null;10;39;5;casos
639403f30dedcfcbae158b4e;False;0;null;10;40;5;casos
639403f30dedcfcbae158b4f;False;0;null;10;41;5;casos
639403f30dedcfcbae158b50;False;0;3;10;Média;5;casos
639403f60dedcfcbae158b5f;False;0;null;11;38;5;casos
639403f60dedcfcbae158b60;False;0;null;11;39;5;casos
639403f70dedcfcbae158b61;False;0;null;11;40;5;casos
