_id;agrupamento;fonte;id_estudante;id_fonte;id_questionario;método;nota;tipo
63956a620dedcfcbae15ac31;False;3;3;Média;1;casos;0;binaria
63956a620dedcfcbae15ac32;False;3;3;Média;1;casos;0;proporcional
63956a620dedcfcbae15ac33;False;null;3;1;1;casos;0;binaria
63956a620dedcfcbae15ac34;False;null;3;1;1;casos;0;proporcional
63956a620dedcfcbae15ac35;False;null;3;2;1;casos;0;binaria
63956a620dedcfcbae15ac36;False;null;3;2;1;casos;0;proporcional
63956a620dedcfcbae15ac37;False;null;3;3;1;casos;0;binaria
63956a620dedcfcbae15ac38;False;null;3;3;1;casos;0;proporcional
63956a620dedcfcbae15ac39;False;null;3;4;1;casos;0;binaria
63956a620dedcfcbae15ac3a;False;null;3;4;1;casos;0;proporcional
63956a620dedcfcbae15ac3b;False;null;3;5;1;casos;0;binaria
63956a620dedcfcbae15ac3c;False;null;3;5;1;casos;0;proporcional
63956a620dedcfcbae15ac3d;False;null;3;6;1;casos;0;binaria
63956a620dedcfcbae15ac3e;False;null;3;6;1;casos;0;proporcional
63956a630dedcfcbae15ac3f;False;null;3;7;1;casos;0;binaria
63956a630dedcfcbae15ac40;False;null;3;7;1;casos;0;proporcional
63956a630dedcfcbae15ac41;False;null;3;8;1;casos;0;binaria
63956a630dedcfcbae15ac42;False;null;3;8;1;casos;0;proporcional
63956a660dedcfcbae15ac69;False;3;5;Média;1;casos;1,0420612373737372;binaria
63956a660dedcfcbae15ac6a;False;3;5;Média;1;casos;0,3473537457912453;proporcional
63956a660dedcfcbae15ac6b;False;null;5;1;1;casos;0;binaria
63956a660dedcfcbae15ac6c;False;null;5;1;1;casos;0;proporcional
63956a660dedcfcbae15ac6d;False;null;5;2;1;casos;0;binaria
63956a660dedcfcbae15ac6e;False;null;5;2;1;casos;0;proporcional
63956a660dedcfcbae15ac6f;False;null;5;3;1;casos;0;binaria
63956a660dedcfcbae15ac70;False;null;5;3;1;casos;0;proporcional
63956a660dedcfcbae15ac71;False;null;5;4;1;casos;0;binaria
63956a660dedcfcbae15ac72;False;null;5;4;1;casos;0;proporcional
63956a660dedcfcbae15ac73;False;null;5;5;1;casos;0;binaria
63956a660dedcfcbae15ac74;False;null;5;5;1;casos;0;proporcional
63956a660dedcfcbae15ac75;False;null;5;6;1;casos;0;binaria
63956a670dedcfcbae15ac76;False;null;5;6;1;casos;0;proporcional
63956a670dedcfcbae15ac77;False;null;5;7;1;casos;6,111111111111111;binaria
63956a670dedcfcbae15ac78;False;null;5;7;1;casos;2,037037037037037;proporcional
63956a670dedcfcbae15ac79;False;null;5;8;1;casos;0;binaria
63956a670dedcfcbae15ac7a;False;null;5;8;1;casos;0;proporcional
63956a6a0dedcfcbae15aca1;False;3;4;Média;1;casos;0;binaria
63956a6a0dedcfcbae15aca2;False;3;4;Média;1;casos;0;proporcional
63956a6a0dedcfcbae15aca3;False;null;4;1;1;casos;0;binaria
63956a6a0dedcfcbae15aca4;False;null;4;1;1;casos;0;proporcional
63956a6a0dedcfcbae15aca5;False;null;4;2;1;casos;0;binaria
63956a6a0dedcfcbae15aca6;False;null;4;2;1;casos;0;proporcional
63956a6a0dedcfcbae15aca7;False;null;4;3;1;casos;0;binaria
63956a6a0dedcfcbae15aca8;False;null;4;3;1;casos;0;proporcional
63956a6a0dedcfcbae15aca9;False;null;4;4;1;casos;0;binaria
63956a6a0dedcfcbae15acaa;False;null;4;4;1;casos;0;proporcional
63956a6a0dedcfcbae15acab;False;null;4;5;1;casos;0;binaria
63956a6b0dedcfcbae15acac;False;null;4;5;1;casos;0;proporcional
63956a6b0dedcfcbae15acad;False;null;4;6;1;casos;0;binaria
63956a6b0dedcfcbae15acae;False;null;4;6;1;casos;0;proporcional
63956a6b0dedcfcbae15acaf;False;null;4;7;1;casos;0;binaria
63956a6b0dedcfcbae15acb0;False;null;4;7;1;casos;0;proporcional
63956a6b0dedcfcbae15acb1;False;null;4;8;1;casos;0;binaria
63956a6b0dedcfcbae15acb2;False;null;4;8;1;casos;0;proporcional
63956a6e0dedcfcbae15acd9;False;3;6;Média;1;casos;0;binaria
63956a6e0dedcfcbae15acda;False;3;6;Média;1;casos;0;proporcional
63956a6e0dedcfcbae15acdb;False;null;6;1;1;casos;0;binaria
63956a6e0dedcfcbae15acdc;False;null;6;1;1;casos;0;proporcional
63956a6e0dedcfcbae15acdd;False;null;6;2;1;casos;0;binaria
63956a6e0dedcfcbae15acde;False;null;6;2;1;casos;0;proporcional
63956a6e0dedcfcbae15acdf;False;null;6;3;1;casos;0;binaria
63956a6e0dedcfcbae15ace0;False;null;6;3;1;casos;0;proporcional
63956a6e0dedcfcbae15ace1;False;null;6;4;1;casos;0;binaria
63956a6e0dedcfcbae15ace2;False;null;6;4;1;casos;0;proporcional
63956a6e0dedcfcbae15ace3;False;null;6;5;1;casos;0;binaria
63956a6e0dedcfcbae15ace4;False;null;6;5;1;casos;0;proporcional
63956a6f0dedcfcbae15ace5;False;null;6;6;1;casos;0;binaria
63956a6f0dedcfcbae15ace6;False;null;6;6;1;casos;0;proporcional
63956a6f0dedcfcbae15ace7;False;null;6;7;1;casos;0;binaria
63956a6f0dedcfcbae15ace8;False;null;6;7;1;casos;0;proporcional
63956a6f0dedcfcbae15ace9;False;null;6;8;1;casos;0;binaria
63956a6f0dedcfcbae15acea;False;null;6;8;1;casos;0;proporcional
63956a720dedcfcbae15ad11;False;3;7;Média;1;casos;0,9720982142857146;binaria
63956a720dedcfcbae15ad12;False;3;7;Média;1;casos;0,32403273809523775;proporcional
63956a720dedcfcbae15ad13;False;null;7;1;1;casos;0;binaria
63956a720dedcfcbae15ad14;False;null;7;1;1;casos;0;proporcional
63956a720dedcfcbae15ad15;False;null;7;2;1;casos;0;binaria
63956a720dedcfcbae15ad16;False;null;7;2;1;casos;0;proporcional
63956a720dedcfcbae15ad17;False;null;7;3;1;casos;0;binaria
63956a720dedcfcbae15ad18;False;null;7;3;1;casos;0;proporcional
63956a720dedcfcbae15ad19;False;null;7;4;1;casos;0;binaria
63956a720dedcfcbae15ad1a;False;null;7;4;1;casos;0;proporcional
63956a730dedcfcbae15ad1b;False;null;7;5;1;casos;0;binaria
63956a730dedcfcbae15ad1c;False;null;7;5;1;casos;0;proporcional
63956a730dedcfcbae15ad1d;False;null;7;6;1;casos;0;binaria
63956a730dedcfcbae15ad1e;False;null;7;6;1;casos;0;proporcional
63956a730dedcfcbae15ad1f;False;null;7;7;1;casos;8,333333333333334;binaria
63956a730dedcfcbae15ad20;False;null;7;7;1;casos;2,7777777777777786;proporcional
63956a730dedcfcbae15ad21;False;null;7;8;1;casos;0;binaria
63956a730dedcfcbae15ad22;False;null;7;8;1;casos;0;proporcional
63956a760dedcfcbae15ad49;False;3;9;Média;1;casos;0;binaria
63956a760dedcfcbae15ad4a;False;3;9;Média;1;casos;0;proporcional
63956a760dedcfcbae15ad4b;False;null;9;1;1;casos;0;binaria
63956a760dedcfcbae15ad4c;False;null;9;1;1;casos;0;proporcional
63956a760dedcfcbae15ad4d;False;null;9;2;1;casos;0;binaria
63956a760dedcfcbae15ad4e;False;null;9;2;1;casos;0;proporcional
63956a760dedcfcbae15ad4f;False;null;9;3;1;casos;0;binaria
63956a760dedcfcbae15ad50;False;null;9;3;1;casos;0;proporcional
63956a760dedcfcbae15ad51;False;null;9;4;1;casos;0;binaria
63956a760dedcfcbae15ad52;False;null;9;4;1;casos;0;proporcional
