_id,agrupamento,fonte,id_estudante,id_fonte,id_questionario,método,nota,tipo
621b6bac13008a8aa554e090,False,1,3,EF1,1,entradas,0,
621b6bac13008a8aa554e091,False,2,3,EV1,1,entradas,0,
621b6bac13008a8aa554e092,False,2,3,EV2,1,entradas,0,
621b6bac13008a8aa554e093,False,3,3,Média,1,entradas,0,
621b6bad13008a8aa554e094,False,1,5,EF1,1,entradas,1.0677083333333333,
621b6bad13008a8aa554e095,False,2,5,EV1,1,entradas,0,
621b6bad13008a8aa554e096,False,2,5,EV2,1,entradas,0,
621b6bad13008a8aa554e097,False,3,5,Média,1,entradas,0.35590277777777773,
621b6bad13008a8aa554e098,False,1,4,EF1,1,entradas,0,
621b6bae13008a8aa554e099,False,2,4,EV1,1,entradas,0,
621b6bae13008a8aa554e09a,False,2,4,EV2,1,entradas,0,
621b6bae13008a8aa554e09b,False,3,4,Média,1,entradas,0,
621b6bae13008a8aa554e09c,False,1,6,EF1,1,entradas,0,
621b6bae13008a8aa554e09d,False,2,6,EV1,1,entradas,0,
621b6bae13008a8aa554e09e,False,2,6,EV2,1,entradas,0,
621b6bae13008a8aa554e09f,False,3,6,Média,1,entradas,0,
621b6baf13008a8aa554e0a0,False,1,7,EF1,1,entradas,0.6194196428571429,
621b6baf13008a8aa554e0a1,False,2,7,EV1,1,entradas,0,
621b6baf13008a8aa554e0a2,False,2,7,EV2,1,entradas,0,
621b6baf13008a8aa554e0a3,False,3,7,Média,1,entradas,0.2064732142857143,
621b6bb013008a8aa554e0a4,False,1,9,EF1,1,entradas,0,
621b6bb013008a8aa554e0a5,False,2,9,EV1,1,entradas,0,
621b6bb013008a8aa554e0a6,False,2,9,EV2,1,entradas,0,
621b6bb013008a8aa554e0a7,False,3,9,Média,1,entradas,0,
621b6bb013008a8aa554e0a8,False,1,10,EF1,1,entradas,1.8350074404761905,
621b6bb013008a8aa554e0a9,False,2,10,EV1,1,entradas,0,
621b6bb113008a8aa554e0aa,False,2,10,EV2,1,entradas,0,
621b6bb113008a8aa554e0ab,False,3,10,Média,1,entradas,0.6116691468253969,
621b6bb113008a8aa554e0ac,False,1,11,EF1,1,entradas,0.546875,
621b6bb113008a8aa554e0ad,False,2,11,EV1,1,entradas,1.09375,
621b6bb113008a8aa554e0ae,False,2,11,EV2,1,entradas,0.205078125,
621b6bb113008a8aa554e0af,False,3,11,Média,1,entradas,0.615234375,
621b6bb213008a8aa554e0b0,False,1,12,EF1,1,entradas,0,
621b6bb213008a8aa554e0b1,False,2,12,EV1,1,entradas,0,
621b6bb213008a8aa554e0b2,False,2,12,EV2,1,entradas,0,
621b6bb213008a8aa554e0b3,False,3,12,Média,1,entradas,0,
621b6bb313008a8aa554e0b4,False,1,13,EF1,1,entradas,0,
621b6bb313008a8aa554e0b5,False,2,13,EV1,1,entradas,0,
621b6bb313008a8aa554e0b6,False,2,13,EV2,1,entradas,1.09375,
621b6bb313008a8aa554e0b7,False,3,13,Média,1,entradas,0.3645833333333333,
621b6bb313008a8aa554e0b8,False,1,14,EF1,1,entradas,0,
621b6bb313008a8aa554e0b9,False,2,14,EV1,1,entradas,0,
621b6bb413008a8aa554e0ba,False,2,14,EV2,1,entradas,0,
621b6bb413008a8aa554e0bb,False,3,14,Média,1,entradas,0,
621b6bb413008a8aa554e0bc,False,1,16,EF1,1,entradas,0.9375,
621b6bb513008a8aa554e0bd,False,2,16,EV1,1,entradas,0,
621b6bb513008a8aa554e0be,False,2,16,EV2,1,entradas,0,
621b6bb513008a8aa554e0bf,False,3,16,Média,1,entradas,0.3125,
621b6bb513008a8aa554e0c0,False,1,17,EF1,1,entradas,0,
621b6bb513008a8aa554e0c1,False,2,17,EV1,1,entradas,0,
621b6bb513008a8aa554e0c2,False,2,17,EV2,1,entradas,0,
621b6bb613008a8aa554e0c3,False,3,17,Média,1,entradas,0,
621b6bb613008a8aa554e0c4,False,1,18,EF1,1,entradas,1.1197916666666665,
621b6bb613008a8aa554e0c5,False,2,18,EV1,1,entradas,0,
621b6bb613008a8aa554e0c6,False,2,18,EV2,1,entradas,0,
621b6bb613008a8aa554e0c7,False,3,18,Média,1,entradas,0.37326388888888884,
621b6bb713008a8aa554e0c8,False,1,19,EF1,1,entradas,0,
621b6bb713008a8aa554e0c9,False,2,19,EV1,1,entradas,0,
621b6bb713008a8aa554e0ca,False,2,19,EV2,1,entradas,0,
621b6bb713008a8aa554e0cb,False,3,19,Média,1,entradas,0,
621b6bb813008a8aa554e0cc,False,1,20,EF1,1,entradas,0,
621b6bb813008a8aa554e0cd,False,2,20,EV1,1,entradas,0,
621b6bb813008a8aa554e0ce,False,2,20,EV2,1,entradas,0,
621b6bb813008a8aa554e0cf,False,3,20,Média,1,entradas,0,
621b6bb813008a8aa554e0d0,False,1,21,EF1,1,entradas,0,
621b6bb813008a8aa554e0d1,False,2,21,EV1,1,entradas,0,
621b6bb913008a8aa554e0d2,False,2,21,EV2,1,entradas,0,
621b6bb913008a8aa554e0d3,False,3,21,Média,1,entradas,0,
621b6bb913008a8aa554e0d4,False,1,22,EF1,1,entradas,1.09375,
621b6bb913008a8aa554e0d5,False,2,22,EV1,1,entradas,0,
621b6bb913008a8aa554e0d6,False,2,22,EV2,1,entradas,0,
621b6bb913008a8aa554e0d7,False,3,22,Média,1,entradas,0.3645833333333333,
621b6bba13008a8aa554e0d8,False,1,23,EF1,1,entradas,0,
621b6bba13008a8aa554e0d9,False,2,23,EV1,1,entradas,0,
621b6bba13008a8aa554e0da,False,2,23,EV2,1,entradas,0,
621b6bba13008a8aa554e0db,False,3,23,Média,1,entradas,0,
621b6bbb13008a8aa554e0dc,False,1,24,EF1,1,entradas,0,
621b6bbb13008a8aa554e0dd,False,2,24,EV1,1,entradas,0,
621b6bbb13008a8aa554e0de,False,2,24,EV2,1,entradas,0,
621b6bbb13008a8aa554e0df,False,3,24,Média,1,entradas,0,
621b6bbb13008a8aa554e0e0,False,1,25,EF1,1,entradas,0,
621b6bbb13008a8aa554e0e1,False,2,25,EV1,1,entradas,0,
621b6bbc13008a8aa554e0e2,False,2,25,EV2,1,entradas,0,
621b6bbc13008a8aa554e0e3,False,3,25,Média,1,entradas,0,
