_id,agrupamento,fonte,id_estudante,id_fonte,id_questionario,método,nota
62da2e9fd6aea23ada049020,False,1,3,EF1,1,entradas,7.322916666666667
62da2e9fd6aea23ada049021,False,2,3,EV1,1,entradas,9.166666666666666
62da2e9fd6aea23ada049022,False,2,3,EV2,1,entradas,9.375
62da2e9fd6aea23ada049023,False,3,3,Média,1,entradas,8.621527777777777
62da2ea0d6aea23ada049028,False,1,5,EF1,1,entradas,8.541666666666666
62da2ea0d6aea23ada049029,False,2,5,EV1,1,entradas,9.375
62da2ea1d6aea23ada04902a,False,2,5,EV2,1,entradas,7.092803030303029
62da2ea1d6aea23ada04902b,False,3,5,Média,1,entradas,8.336489898989898
62da2ea2d6aea23ada049030,False,1,4,EF1,1,entradas,8.541666666666666
62da2ea2d6aea23ada049031,False,2,4,EV1,1,entradas,9.375
62da2ea3d6aea23ada049032,False,2,4,EV2,1,entradas,10
62da2ea3d6aea23ada049033,False,3,4,Média,1,entradas,9.305555555555555
62da2ea4d6aea23ada049038,False,1,6,EF1,1,entradas,8.541666666666666
62da2ea4d6aea23ada049039,False,2,6,EV1,1,entradas,8.75
62da2ea4d6aea23ada04903a,False,2,6,EV2,1,entradas,10
62da2ea4d6aea23ada04903b,False,3,6,Média,1,entradas,9.097222222222221
62da2ea6d6aea23ada049040,False,1,7,EF1,1,entradas,4.955357142857143
62da2ea6d6aea23ada049041,False,2,7,EV1,1,entradas,9.375
62da2ea6d6aea23ada049042,False,2,7,EV2,1,entradas,9
62da2ea6d6aea23ada049043,False,3,7,Média,1,entradas,7.776785714285714
62da2ea8d6aea23ada049048,False,1,9,EF1,1,entradas,8.854166666666666
62da2ea8d6aea23ada049049,False,2,9,EV1,1,entradas,10
62da2ea8d6aea23ada04904a,False,2,9,EV2,1,entradas,9.375
62da2ea8d6aea23ada04904b,False,3,9,Média,1,entradas,9.409722222222221
62da2eaad6aea23ada049050,False,1,10,EF1,1,entradas,7.340029761904762
62da2eaad6aea23ada049051,False,2,10,EV1,1,entradas,8.385416666666666
62da2eaad6aea23ada049052,False,2,10,EV2,1,entradas,5.925245098039214
62da2eaad6aea23ada049053,False,3,10,Média,1,entradas,7.216897175536881
62da2eabd6aea23ada049058,False,1,11,EF1,1,entradas,0.625
62da2eabd6aea23ada049059,False,2,11,EV1,1,entradas,1.25
62da2eabd6aea23ada04905a,False,2,11,EV2,1,entradas,0.234375
62da2eabd6aea23ada04905b,False,3,11,Média,1,entradas,0.703125
62da2eacd6aea23ada049060,False,1,12,EF1,1,entradas,9.505208333333334
62da2eadd6aea23ada049061,False,2,12,EV1,1,entradas,9.375
62da2eadd6aea23ada049062,False,2,12,EV2,1,entradas,8.571428571428573
62da2eadd6aea23ada049063,False,3,12,Média,1,entradas,9.150545634920636
62da2eaed6aea23ada049068,False,1,13,EF1,1,entradas,9.583333333333332
62da2eaed6aea23ada049069,False,2,13,EV1,1,entradas,10
62da2eaed6aea23ada04906a,False,2,13,EV2,1,entradas,8.75
62da2eaed6aea23ada04906b,False,3,13,Média,1,entradas,9.444444444444445
62da2eb0d6aea23ada049070,False,1,14,EF1,1,entradas,10
62da2eb0d6aea23ada049071,False,2,14,EV1,1,entradas,10
62da2eb0d6aea23ada049072,False,2,14,EV2,1,entradas,7.5
62da2eb0d6aea23ada049073,False,3,14,Média,1,entradas,9.166666666666666
62da2eb2d6aea23ada049078,False,1,16,EF1,1,entradas,7.5
62da2eb2d6aea23ada049079,False,2,16,EV1,1,entradas,10
62da2eb2d6aea23ada04907a,False,2,16,EV2,1,entradas,9.375
62da2eb2d6aea23ada04907b,False,3,16,Média,1,entradas,8.958333333333334
62da2eb4d6aea23ada049080,False,1,17,EF1,1,entradas,9.375
62da2eb4d6aea23ada049081,False,2,17,EV1,1,entradas,10
62da2eb4d6aea23ada049082,False,2,17,EV2,1,entradas,10
62da2eb4d6aea23ada049083,False,3,17,Média,1,entradas,9.791666666666666
62da2eb5d6aea23ada049088,False,1,18,EF1,1,entradas,8.958333333333332
62da2eb5d6aea23ada049089,False,2,18,EV1,1,entradas,9.375
62da2eb5d6aea23ada04908a,False,2,18,EV2,1,entradas,10
