_id,idAluno,idQuestionario,mediaPonderada
61da74bd090d3c0d6103e17d,350,470,8
61da74c2090d3c0d6103e180,372,470,6.5
61da74c8090d3c0d6103e183,363,470,8.5
61da74ce090d3c0d6103e186,360,470,3.5
61da74d4090d3c0d6103e189,361,470,9.666666666666666
61da74d9090d3c0d6103e18c,345,470,9
61da74df090d3c0d6103e18f,374,470,8.833333333333332
61da74e4090d3c0d6103e192,355,470,3.6666666666666665
61da74ea090d3c0d6103e195,354,470,8.5
61da74f0090d3c0d6103e198,359,470,4.833333333333333
61da74f6090d3c0d6103e19b,349,470,5.333333333333333
61da74fa090d3c0d6103e19d,357,470,9
